date,number_of_strikes,center_point_geom
2016-01-04,55,POINT(-83.2 21.1)
2016-01-04,33,POINT(-83.1 21.1)
2016-01-05,46,POINT(-77.5 22.1)
2016-01-05,28,POINT(-76.8 22.3)
2016-01-05,28,POINT(-77 22.1)
2016-01-05,30,POINT(-76.7 22.3)
2016-01-05,34,POINT(-76.8 22.4)
2016-01-06,31,POINT(-74.2 25.9)
2016-01-06,24,POINT(-76 22.9)
2016-01-06,25,POINT(-75.3 22.7)
2016-01-06,37,POINT(-75.8 23)
2016-01-06,27,POINT(-87.4 25.6)
2016-01-06,41,POINT(-73.9 26.3)
2016-01-06,27,POINT(-75.7 22.3)
2016-01-06,29,POINT(-74.1 26)
2016-01-06,25,POINT(-74.1 26.2)
2016-01-06,36,POINT(-95.1 28)
2016-01-06,34,POINT(-95.1 28.3)
2016-01-06,35,POINT(-75.7 23.1)
2016-01-06,50,POINT(-75.5 22.4)
2016-01-06,44,POINT(-74.5 25.3)
2016-01-06,74,POINT(-74 26.2)
2016-01-06,26,POINT(-78.3 23.3)
2016-01-06,53,POINT(-76.3 22.2)
2016-01-06,37,POINT(-74.4 25.8)
2016-01-06,25,POINT(-77.9 23.3)
2016-01-06,31,POINT(-74.6 25.7)
2016-01-06,43,POINT(-73.8 26.3)
2016-01-06,42,POINT(-78.8 23.1)
2016-01-06,28,POINT(-73.9 26.2)
2016-01-06,27,POINT(-76 23)
2016-01-06,36,POINT(-75.6 22.4)
2016-01-06,32,POINT(-74.4 25.3)
2016-01-06,43,POINT(-74.5 25.2)
2016-01-06,37,POINT(-75.7 23)
2016-01-06,24,POINT(-73.3 24.7)
2016-01-06,33,POINT(-74.3 25.8)
2016-01-06,28,POINT(-74.5 25.7)
2016-01-06,25,POINT(-75.7 22.2)
2016-01-06,37,POINT(-73.8 25.9)
2016-01-06,29,POINT(-78.4 23.3)
2016-01-06,27,POINT(-78.7 23)
2016-01-06,36,POINT(-73.7 26.4)
2016-01-06,36,POINT(-96.4 26.9)
2016-01-06,33,POINT(-76.4 22.2)
2016-01-06,28,POINT(-78 23.2)
2016-01-06,37,POINT(-93.3 28.4)
2016-01-06,31,POINT(-78.7 23.1)
2016-01-06,47,POINT(-74.6 25.2)
2016-01-06,46,POINT(-75.9 23)
2016-01-06,28,POINT(-74.6 25.1)
2016-01-06,30,POINT(-79.7 23.5)
2016-01-06,36,POINT(-75.8 22.9)
2016-01-06,30,POINT(-95.3 28.2)
2016-01-06,28,POINT(-96.3 26.9)
2016-01-06,25,POINT(-75.9 22.8)
2016-01-06,28,POINT(-74.3 25.9)
2016-01-06,25,POINT(-74.2 26)
2016-01-06,26,POINT(-96.5 26.8)
2016-01-06,28,POINT(-78.3 23.2)
2016-01-06,24,POINT(-74.7 25.1)
2016-01-06,31,POINT(-95.2 28.3)
2016-01-06,48,POINT(-95.2 28)
2016-01-06,59,POINT(-74.1 26.1)
2016-01-06,34,POINT(-75.8 23.1)
2016-01-07,50,POINT(-74.1 25.4)
2016-01-07,26,POINT(-95.9 26.7)
2016-01-07,32,POINT(-74.3 25.2)
2016-01-07,37,POINT(-74.3 25.3)
2016-01-07,25,POINT(-74.1 25.5)
2016-01-07,24,POINT(-97 28.3)
2016-01-07,31,POINT(-95.9 28.9)
2016-01-07,33,POINT(-73.6 26.1)
2016-01-07,32,POINT(-95.6 26.6)
2016-01-07,25,POINT(-93.9 25.8)
2016-01-07,32,POINT(-73.7 26.1)
2016-01-07,31,POINT(-73.8 25.9)
2016-01-07,82,POINT(-73.7 26)
2016-01-07,46,POINT(-74.2 25.2)
2016-01-07,26,POINT(-74.3 25)
2016-01-07,47,POINT(-94.9 26.7)
2016-01-07,41,POINT(-96.7 28.4)
2016-01-07,29,POINT(-96 26.7)
2016-01-07,28,POINT(-95.7 25.5)
2016-01-07,34,POINT(-95.7 26.7)
2016-01-07,24,POINT(-96.1 28.8)
2016-01-07,25,POINT(-96.1 29)
2016-01-07,31,POINT(-73.8 25.8)
2016-01-07,34,POINT(-95.6 26.7)
2016-01-07,56,POINT(-74.2 25.3)
2016-01-07,28,POINT(-74.3 25.1)
2016-01-07,26,POINT(-94.5 27.8)
2016-01-07,25,POINT(-74.4 25.1)
2016-01-07,29,POINT(-94.8 26.7)
2016-01-07,26,POINT(-74.2 25)
2016-01-07,28,POINT(-73.6 26)
2016-01-07,39,POINT(-94.9 25.7)
2016-01-07,30,POINT(-95.1 25.5)
2016-01-07,28,POINT(-85.8 26.1)
2016-01-07,27,POINT(-95.6 25.5)
2016-01-07,26,POINT(-95.1 27.4)
2016-01-07,28,POINT(-95.9 29)
2016-01-07,53,POINT(-74.1 25.3)
2016-01-08,26,POINT(-95.6 30.6)
2016-01-08,27,POINT(-84.3 23.3)
2016-01-08,24,POINT(-86.1 23.2)
2016-01-08,31,POINT(-84.6 23.2)
2016-01-08,24,POINT(-84.7 23.2)
2016-01-08,31,POINT(-84.8 23.1)
2016-01-08,29,POINT(-95.2 29.7)
2016-01-08,44,POINT(-94.9 28.9)
2016-01-08,27,POINT(-86.1 23.3)
2016-01-08,38,POINT(-86 23.3)
2016-01-08,32,POINT(-84.7 23.1)
2016-01-09,26,POINT(-91.6 28.5)
2016-01-09,31,POINT(-92.2 31.1)
2016-01-09,29,POINT(-91.2 34.9)
2016-01-09,70,POINT(-94 29.3)
2016-01-09,59,POINT(-94.9 29.6)
2016-01-09,31,POINT(-93.4 29.5)
2016-01-09,30,POINT(-85.2 26.4)
2016-01-09,27,POINT(-93.9 30.6)
2016-01-09,29,POINT(-92.9 30.9)
2016-01-09,25,POINT(-93.6 30.2)
2016-01-09,47,POINT(-92 28.5)
2016-01-09,41,POINT(-92 28.7)
2016-01-09,38,POINT(-93.5 32.4)
2016-01-09,28,POINT(-94.5 28.2)
2016-01-09,34,POINT(-94.4 31.5)
2016-01-09,33,POINT(-93.5 30.7)
2016-01-09,25,POINT(-93.2 30.6)
2016-01-09,36,POINT(-92.7 29.8)
2016-01-09,25,POINT(-93.9 31.9)
2016-01-09,38,POINT(-94.1 29.7)
2016-01-09,32,POINT(-91.4 28.5)
2016-01-09,26,POINT(-84.5 26.5)
2016-01-09,106,POINT(-93 29.5)
2016-01-09,42,POINT(-94.1 29)
2016-01-09,51,POINT(-84.1 27.4)
2016-01-09,30,POINT(-90.9 33.6)
2016-01-09,37,POINT(-92.6 30.7)
2016-01-09,31,POINT(-84.3 27.3)
2016-01-09,46,POINT(-94.2 30.3)
2016-01-09,41,POINT(-93.3 30.7)
2016-01-09,43,POINT(-93.7 32.2)
2016-01-09,24,POINT(-93.1 30.7)
2016-01-09,37,POINT(-92.3 32.8)
2016-01-09,44,POINT(-93.7 30.6)
2016-01-09,24,POINT(-88 28.8)
2016-01-09,68,POINT(-94.5 30.1)
2016-01-09,60,POINT(-94.2 30.2)
2016-01-09,42,POINT(-91.4 28.7)
2016-01-09,40,POINT(-94.1 30.4)
2016-01-09,29,POINT(-93.7 30.9)
2016-01-09,40,POINT(-92.6 29.6)
2016-01-09,26,POINT(-92.6 31.4)
2016-01-09,34,POINT(-92.2 31.2)
2016-01-09,35,POINT(-94 30.3)
2016-01-09,63,POINT(-93.9 29.8)
2016-01-09,33,POINT(-93 30.3)
2016-01-09,29,POINT(-88.7 28.5)
2016-01-09,35,POINT(-86.6 27.9)
2016-01-09,49,POINT(-86.2 29.1)
2016-01-09,24,POINT(-92.3 28.5)
2016-01-09,30,POINT(-94.8 29.6)
2016-01-09,24,POINT(-94.3 29)
2016-01-09,44,POINT(-94.1 29.2)
2016-01-09,33,POINT(-91.1 33.3)
2016-01-09,40,POINT(-92.9 29.7)
2016-01-09,27,POINT(-93.9 30.1)
2016-01-09,38,POINT(-94.1 30.5)
2016-01-09,28,POINT(-94.4 29.4)
2016-01-09,49,POINT(-92.5 29.5)
2016-01-09,24,POINT(-88.9 28.5)
2016-01-09,24,POINT(-83.7 27.5)
2016-01-09,42,POINT(-94.2 29)
2016-01-09,43,POINT(-93.1 30.3)
2016-01-09,58,POINT(-94 30.4)
2016-01-09,25,POINT(-87.1 28.4)
2016-01-09,63,POINT(-94.9 29.9)
2016-01-09,49,POINT(-94.7 29)
2016-01-09,27,POINT(-94.3 29.8)
2016-01-09,46,POINT(-92.4 29.8)
2016-01-09,35,POINT(-94.8 31.3)
2016-01-09,32,POINT(-83 26.6)
2016-01-09,35,POINT(-91.2 33.3)
2016-01-09,30,POINT(-88.1 28.4)
2016-01-09,36,POINT(-94.5 30)
2016-01-09,30,POINT(-93.9 30.7)
2016-01-09,50,POINT(-93.9 29.9)
2016-01-09,25,POINT(-89.6 28.3)
2016-01-09,91,POINT(-93.3 29.4)
2016-01-09,40,POINT(-91.2 28.7)
2016-01-09,44,POINT(-92.4 29.5)
2016-01-09,25,POINT(-94.3 31.7)
2016-01-09,24,POINT(-95.5 30.6)
2016-01-09,25,POINT(-95.1 29.8)
2016-01-09,56,POINT(-94.1 29.3)
2016-01-09,80,POINT(-94 29.8)
2016-01-09,25,POINT(-94.6 31.2)
2016-01-09,46,POINT(-93 29.6)
2016-01-09,70,POINT(-94.7 29.1)
2016-01-09,29,POINT(-91.1 33.4)
2016-01-09,24,POINT(-93.8 30.6)
2016-01-09,44,POINT(-93.5 29.2)
2016-01-09,128,POINT(-93.6 29.3)
2016-01-09,43,POINT(-96.2 30.5)
2016-01-09,30,POINT(-88.9 28.6)
2016-01-09,47,POINT(-93.8 29.8)
2016-01-09,34,POINT(-93.2 29.7)
2016-01-09,47,POINT(-93.4 30.7)
2016-01-09,26,POINT(-94.4 28.5)
2016-01-09,44,POINT(-82.8 26.6)
2016-01-09,26,POINT(-95 29.5)
2016-01-09,34,POINT(-94.9 31)
2016-01-09,31,POINT(-93.9 29.2)
2016-01-09,36,POINT(-91.1 28.6)
2016-01-09,46,POINT(-95.2 30.8)
2016-01-09,39,POINT(-93.4 32.4)
2016-01-09,30,POINT(-82.9 26.5)
2016-01-09,28,POINT(-93.5 28.4)
2016-01-09,38,POINT(-93.9 32.1)
2016-01-09,67,POINT(-94.2 29.2)
2016-01-09,35,POINT(-92.8 30.8)
2016-01-09,62,POINT(-82.1 26.6)
2016-01-09,30,POINT(-96.4 30.5)
2016-01-09,25,POINT(-87.5 28.3)
2016-01-09,34,POINT(-92.8 31)
2016-01-09,24,POINT(-87.1 27.6)
2016-01-09,71,POINT(-93.4 29.2)
2016-01-09,32,POINT(-94.5 31.6)
2016-01-09,48,POINT(-91.9 28.6)
2016-01-09,29,POINT(-93.8 30.7)
2016-01-09,27,POINT(-93.5 30.1)
2016-01-09,33,POINT(-83.8 27.4)
2016-01-09,28,POINT(-92.3 31.2)
2016-01-09,30,POINT(-84.4 27.3)
2016-01-09,26,POINT(-92 29.5)
2016-01-09,25,POINT(-95.1 29.5)
2016-01-09,46,POINT(-92.1 28.7)
2016-01-09,25,POINT(-88.9 28.4)
2016-01-09,25,POINT(-93.3 30.9)
2016-01-09,25,POINT(-94.2 29.6)
2016-01-09,40,POINT(-91 28.6)
2016-01-09,29,POINT(-86.5 28)
2016-01-09,37,POINT(-91.3 33.1)
2016-01-09,25,POINT(-93.6 30.7)
2016-01-09,24,POINT(-95.1 29.4)
2016-01-09,25,POINT(-90.8 33.7)
2016-01-09,33,POINT(-93.6 28.3)
2016-01-09,33,POINT(-92.8 28.2)
2016-01-09,31,POINT(-94.2 30.4)
2016-01-09,28,POINT(-93.3 30.2)
2016-01-09,24,POINT(-82.7 26.5)
2016-01-09,28,POINT(-91.2 33.2)
2016-01-09,27,POINT(-84.2 26.5)
2016-01-09,29,POINT(-95 29.4)
2016-01-09,27,POINT(-90.6 28.9)
2016-01-09,31,POINT(-84.4 26)
2016-01-09,55,POINT(-93.8 30.5)
2016-01-09,30,POINT(-86.2 27.7)
2016-01-09,25,POINT(-93.3 29.5)
2016-01-09,34,POINT(-93.6 30.1)
2016-01-09,31,POINT(-92.9 29.3)
2016-01-09,44,POINT(-84.4 28.2)
2016-01-09,38,POINT(-95.4 30.6)
2016-01-09,46,POINT(-93.7 28.8)
2016-01-09,27,POINT(-94.5 29.6)
2016-01-09,43,POINT(-92.3 30)
2016-01-09,50,POINT(-94.9 30.9)
2016-01-09,36,POINT(-92.3 29.8)
2016-01-09,38,POINT(-92.4 29.7)
2016-01-09,24,POINT(-87.6 27.6)
2016-01-09,25,POINT(-85.9 26.7)
2016-01-09,68,POINT(-93.6 29.4)
2016-01-09,39,POINT(-91.9 30.3)
2016-01-09,34,POINT(-93.3 30.8)
2016-01-09,26,POINT(-94.2 31.8)
2016-01-09,92,POINT(-94.7 30)
2016-01-09,44,POINT(-92.2 30)
2016-01-09,37,POINT(-94 29.4)
2016-01-09,25,POINT(-91.9 28.5)
2016-01-09,45,POINT(-94.2 29.7)
2016-01-09,25,POINT(-93.3 29.6)
2016-01-09,25,POINT(-92.1 31.1)
2016-01-09,35,POINT(-92 30.1)
2016-01-09,47,POINT(-88.6 28.5)
2016-01-09,31,POINT(-93 31.1)
2016-01-09,39,POINT(-94.4 29.7)
2016-01-09,31,POINT(-93.7 30.7)
2016-01-09,24,POINT(-94.3 28.4)
2016-01-09,26,POINT(-89.1 28.5)
2016-01-09,32,POINT(-95 28.9)
2016-01-09,33,POINT(-94.3 29.7)
2016-01-09,32,POINT(-93.9 30.5)
2016-01-09,53,POINT(-93.4 32.5)
2016-01-09,34,POINT(-92.6 29.5)
2016-01-09,25,POINT(-88.2 28.3)
2016-01-09,87,POINT(-94.8 29)
2016-01-09,37,POINT(-92.3 29.9)
2016-01-09,46,POINT(-94.4 29.2)
2016-01-09,26,POINT(-94.6 30.3)
2016-01-09,32,POINT(-95 30.8)
2016-01-09,39,POINT(-94.4 29.1)
2016-01-09,36,POINT(-93.2 33.8)
2016-01-09,36,POINT(-84.3 26.4)
2016-01-09,28,POINT(-95 29.9)
2016-01-09,33,POINT(-94.9 30.8)
2016-01-09,42,POINT(-94.5 31.4)
2016-01-09,40,POINT(-95 30.9)
2016-01-09,63,POINT(-94.6 30.1)
2016-01-09,74,POINT(-94.3 29.2)
2016-01-09,24,POINT(-93.1 28.5)
2016-01-09,26,POINT(-91.2 33.1)
2016-01-09,33,POINT(-93.4 32.6)
2016-01-09,27,POINT(-82.8 26.7)
2016-01-09,42,POINT(-93.8 30)
2016-01-09,27,POINT(-93 32.8)
2016-01-09,32,POINT(-93 34)
2016-01-09,26,POINT(-94.8 30.8)
2016-01-09,27,POINT(-91.8 28.5)
2016-01-09,27,POINT(-93.4 30.1)
2016-01-09,29,POINT(-93.1 29.7)
2016-01-09,53,POINT(-94.3 30.2)
2016-01-09,35,POINT(-94 29.9)
2016-01-09,65,POINT(-95.1 30.8)
2016-01-09,31,POINT(-93.1 30.9)
2016-01-09,33,POINT(-93.2 28.6)
2016-01-09,28,POINT(-95.1 31.2)
2016-01-09,40,POINT(-86.5 27.9)
2016-01-09,53,POINT(-93.9 29.4)
2016-01-09,38,POINT(-93 30.9)
2016-01-09,143,POINT(-93.2 29.4)
2016-01-09,46,POINT(-92.8 29.6)
2016-01-09,30,POINT(-92.5 28.6)
2016-01-09,33,POINT(-93.8 32.1)
2016-01-09,50,POINT(-93 29.4)
2016-01-09,42,POINT(-91.5 28.6)
2016-01-09,25,POINT(-90.9 33.5)
2016-01-09,26,POINT(-90.7 34.1)
2016-01-09,53,POINT(-93.2 30.7)
2016-01-09,30,POINT(-93.8 30.4)
2016-01-09,43,POINT(-92 28.6)
2016-01-09,55,POINT(-93.2 30.8)
2016-01-09,51,POINT(-95.2 30.7)
2016-01-09,28,POINT(-82.7 26.7)
2016-01-09,24,POINT(-94.5 28.6)
2016-01-09,37,POINT(-92.2 29.8)
2016-01-09,35,POINT(-90.9 28.7)
2016-01-09,41,POINT(-92.7 30.5)
2016-01-09,43,POINT(-92.5 29.8)
2016-01-09,34,POINT(-93.5 28.3)
2016-01-09,58,POINT(-93.4 30.6)
2016-01-09,33,POINT(-92.8 28.6)
2016-01-09,27,POINT(-87 27.8)
2016-01-09,71,POINT(-93.6 30.6)
2016-01-09,28,POINT(-93.6 29.9)
2016-01-09,24,POINT(-94.3 29.1)
2016-01-09,27,POINT(-84.2 27.4)
2016-01-09,34,POINT(-94.4 29.3)
2016-01-09,25,POINT(-94.5 31)
2016-01-09,58,POINT(-91.8 30.3)
2016-01-09,24,POINT(-92.2 33.5)
2016-01-09,34,POINT(-84 26.6)
2016-01-09,60,POINT(-92.7 29.7)
2016-01-09,48,POINT(-93.9 32)
2016-01-09,68,POINT(-94.5 29.1)
2016-01-09,30,POINT(-87.7 27.5)
2016-01-09,35,POINT(-95.4 30.4)
2016-01-09,28,POINT(-87.4 27.6)
2016-01-09,34,POINT(-94.8 29.5)
2016-01-09,33,POINT(-95 31)
2016-01-09,34,POINT(-86.7 27.9)
2016-01-09,68,POINT(-92.8 29.7)
2016-01-09,35,POINT(-92.1 30)
2016-01-09,24,POINT(-96.1 30.5)
2016-01-09,63,POINT(-84 27.4)
2016-01-09,34,POINT(-85.6 26.3)
2016-01-09,39,POINT(-91.6 30.3)
2016-01-09,73,POINT(-95.3 30.8)
2016-01-09,157,POINT(-93.3 29.3)
2016-01-09,31,POINT(-91.3 33)
2016-01-09,50,POINT(-91.2 28.6)
2016-01-09,28,POINT(-92.6 30.9)
2016-01-09,80,POINT(-93.1 29.4)
2016-01-09,24,POINT(-94.3 30.1)
2016-01-09,29,POINT(-93.5 29)
2016-01-09,40,POINT(-92.7 29.5)
2016-01-09,27,POINT(-89.2 28.3)
2016-01-09,26,POINT(-91.8 31.4)
2016-01-09,39,POINT(-93.6 32.4)
2016-01-09,76,POINT(-93.4 29.3)
2016-01-09,38,POINT(-92.4 28.6)
2016-01-09,36,POINT(-94.1 29.8)
2016-01-09,28,POINT(-92.1 31.2)
2016-01-09,45,POINT(-87.3 27.7)
2016-01-09,44,POINT(-82.6 26.6)
2016-01-09,38,POINT(-91.7 28.6)
2016-01-09,26,POINT(-94.2 30.5)
2016-01-09,33,POINT(-92.1 30.1)
2016-01-09,27,POINT(-87.3 28.4)
2016-01-09,25,POINT(-95.7 30.5)
2016-01-09,24,POINT(-93.8 32.2)
2016-01-09,28,POINT(-92.8 29.8)
2016-01-09,62,POINT(-93.4 29.4)
